loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_hamming_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.2591,2.2684476375579834,3.7713651498335186e-06,1.8867924528301887,1700,,,,,,,,,,,,,,
0.258,1.8564730882644653,3.993340732519424e-06,1.997780244173141,1800,,,,,,,,,,,,,,
,,,2.0,1802,0.24413886666297913,0.1800314465408805,0.4809127716613587,0.6035106303064222,0.4373610195403851,0.09320405310971348,14.7904,86.002,10.75,,,,,
0.2408,2.484395742416382,4.215316315205328e-06,2.108768035516093,1900,,,,,,,,,,,,,,
0.2395,3.237095594406128,4.437291897891232e-06,2.2197558268590454,2000,,,,,,,,,,,,,,
0.2326,2.8696093559265137,4.659267480577137e-06,2.3307436182019976,2100,,,,,,,,,,,,,,
0.2318,2.008211135864258,4.881243063263042e-06,2.44173140954495,2200,,,,,,,,,,,,,,
0.2251,2.736314535140991,5.1032186459489466e-06,2.5527192008879025,2300,,,,,,,,,,,,,,
0.2234,3.0123980045318604,5.3251942286348504e-06,2.6637069922308547,2400,,,,,,,,,,,,,,
0.2208,2.7670538425445557,5.547169811320755e-06,2.774694783573807,2500,,,,,,,,,,,,,,
0.2176,1.7264881134033203,5.76914539400666e-06,2.885682574916759,2600,,,,,,,,,,,,,,
0.2163,2.9574334621429443,5.991120976692564e-06,2.9966703662597114,2700,,,,,,,,,,,,,,
,,,3.0,2703,0.22492505609989166,0.19732704402515724,0.520372059220281,0.6585052167570288,0.4599086962727671,0.08896750524109015,14.7991,85.951,10.744,,,,,
0.1953,1.4999445676803589,6.2130965593784685e-06,3.1076581576026636,2800,,,,,,,,,,,,,,
0.1998,1.8409968614578247,6.435072142064373e-06,3.218645948945616,2900,,,,,,,,,,,,,,
0.2023,2.878382921218872,6.657047724750279e-06,3.329633740288568,3000,,,,,,,,,,,,,,
0.1964,2.9682440757751465,6.879023307436183e-06,3.4406215316315203,3100,,,,,,,,,,,,,,
0.1927,3.1377642154693604,7.100998890122087e-06,3.551609322974473,3200,,,,,,,,,,,,,,
0.1923,3.929755687713623,7.322974472807992e-06,3.662597114317425,3300,,,,,,,,,,,,,,
0.1912,2.0794992446899414,7.544950055493896e-06,3.7735849056603774,3400,,,,,,,,,,,,,,
0.1959,4.168942451477051,7.766925638179802e-06,3.8845726970033296,3500,,,,,,,,,,,,,,
0.1954,3.3666086196899414,7.988901220865706e-06,3.995560488346282,3600,,,,,,,,,,,,,,
,,,4.0,3604,0.22664423286914825,0.18081761006289307,0.5571167374336434,0.7057218860564948,0.49711801324293997,0.09324772886093641,14.803,85.929,10.741,,,,,
0.1747,2.7294445037841797,8.21087680355161e-06,4.1065482796892345,3700,,,,,,,,,,,,,,
0.1744,2.4634833335876465,8.432852386237514e-06,4.217536071032186,3800,,,,,,,,,,,,,,
0.1708,4.381200790405273,8.654827968923419e-06,4.328523862375139,3900,,,,,,,,,,,,,,
0.165,3.0881340503692627,8.876803551609323e-06,4.439511653718091,4000,,,,,,,,,,,,,,
0.1728,2.1740024089813232,9.098779134295228e-06,4.550499445061043,4100,,,,,,,,,,,,,,
0.1673,5.076767444610596,9.320754716981133e-06,4.661487236403995,4200,,,,,,,,,,,,,,
0.1657,3.8646481037139893,9.542730299667038e-06,4.772475027746948,4300,,,,,,,,,,,,,,
0.1639,3.9832231998443604,9.764705882352942e-06,4.8834628190899,4400,,,,,,,,,,,,,,
0.163,2.8985302448272705,9.986681465038847e-06,4.994450610432852,4500,,,,,,,,,,,,,,
,,,5.0,4505,0.21403396129608154,0.2279874213836478,0.6070355511760821,0.7141463330023584,0.5397809537280931,0.08569182389937106,14.79,86.004,10.75,,,,,
0.1441,2.2167606353759766,9.97681588358614e-06,5.105438401775805,4600,,,,,,,,,,,,,,
0.1413,3.4005179405212402,9.952151929954373e-06,5.216426193118757,4700,,,,,,,,,,,,,,
0.1352,2.409653902053833,9.927487976322605e-06,5.327413984461709,4800,,,,,,,,,,,,,,
0.1462,3.5651252269744873,9.902824022690837e-06,5.438401775804661,4900,,,,,,,,,,,,,,
0.1457,3.6605288982391357,9.87816006905907e-06,5.549389567147614,5000,,,,,,,,,,,,,,
0.1494,4.179006576538086,9.853496115427303e-06,5.660377358490566,5100,,,,,,,,,,,,,,
0.1406,3.280086040496826,9.828832161795537e-06,5.771365149833518,5200,,,,,,,,,,,,,,
0.1428,3.1794471740722656,9.804168208163769e-06,5.882352941176471,5300,,,,,,,,,,,,,,
